"rules","support","confidence","coverage","lift","count"
"{JIMMY=1,RICK=0,SHELDA=0,WIN=1} => {ALONSO=0}",0.137254901960784,0.91304347826087,0.150326797385621,0.983772198407838,21
"{FRANCOIS=0,RICK=0,YURIKO=1,WIN=1} => {ALONSO=0}",0.137254901960784,0.91304347826087,0.150326797385621,0.983772198407838,21
"{STEEVE=0,FRANCOIS=0,YURIKO=1,WIN=1} => {ALONSO=0}",0.137254901960784,0.91304347826087,0.150326797385621,0.983772198407838,21
"{FRANCOIS=0,RICK=0,YURIKO=1,SHELDA=0,WIN=1} => {ALONSO=0}",0.137254901960784,0.91304347826087,0.150326797385621,0.983772198407838,21
"{JIMMY=1,WIN=1} => {BARBARA=0}",0.202614379084967,0.911764705882353,0.222222222222222,1.51630434782609,31
"{JIMMY=1,WIN=1} => {ALONSO=0}",0.202614379084967,0.911764705882353,0.222222222222222,0.982394366197183,31
"{ALONSO=0,JIMMY=1,RICK=0,BARBARA=0,WIN=1} => {SHELDA=0}",0.130718954248366,0.909090909090909,0.143790849673203,1.14951164537941,20
"{STEEVE=0,FRANCOIS=0,WIN=1} => {ALONSO=0}",0.196078431372549,0.909090909090909,0.215686274509804,0.979513444302177,30
"{YURIKO=0,BARBARA=0,WIN=1} => {ALONSO=0}",0.130718954248366,0.909090909090909,0.143790849673203,0.979513444302177,20
"{STEEVE=0,YURIKO=0,WIN=1} => {ALONSO=0}",0.130718954248366,0.909090909090909,0.143790849673203,0.979513444302177,20
"{STEEVE=0,RICK=0,WIN=1} => {ALONSO=0}",0.196078431372549,0.909090909090909,0.215686274509804,0.979513444302177,30
"{STEEVE=0,SHELDA=0,WIN=1} => {ALONSO=0}",0.261437908496732,0.909090909090909,0.287581699346405,0.979513444302177,40
